mmsi,nav_status,rot,sog,latitude,longitude,cog,true_heading,imo,ship_name,call_sign,ship_type,draught,destination,dimbow,dimstern,dimport,dimstarboard,eta,beam,length,rec_time,source,country,flag_name
101010101,Under way,-30.0,13.93,-23.66976381307705,-53.437830949011314,359.71,2.26,9000101,Victoria,VIC10,Passenger,8.5,Barcelona,19,210,24,23,2025-01-09 00:00:00,39,250,2025-01-01 00:00:00,Synthetic,Italy,ITA
101010101,Under way,-30.0,14.18,-23.65651845664193,-53.42827133393873,3.42,4.0,9000101,Victoria,VIC10,Passenger,8.5,Barcelona,19,210,24,23,2025-01-09 00:00:00,39,250,2025-01-01 00:15:00,Synthetic,Italy,ITA
101010101,Under way,-0.86,14.08,-23.64327251411148,-53.41871365490955,3.21,0.9,9000101,Victoria,VIC10,Passenger,8.5,Barcelona,19,210,24,23,2025-01-09 00:00:00,39,250,2025-01-01 00:30:00,Synthetic,Italy,ITA
101010101,Under way,0.04,14.79,-23.63002598597292,-53.40915791039996,2.84,4.12,9000101,Victoria,VIC10,Passenger,8.5,Barcelona,19,210,24,23,2025-01-09 00:00:00,39,250,2025-01-01 00:45:00,Synthetic,Italy,ITA
101010101,Under way,30.0,13.94,-23.61677887271316,-53.39960409888684,1.01,358.79,9000101,Victoria,VIC10,Passenger,8.5,Barcelona,19,210,24,23,2025-01-09 00:00:00,39,250,2025-01-01 01:00:00,Synthetic,Italy,ITA
101010101,Under way,30.0,14.5,-23.603531174818823,-53.39005221884794,358.95,358.25,9000101,Victoria,VIC10,Passenger,8.5,Barcelona,19,210,24,23,2025-01-09 00:00:00,39,250,2025-01-01 01:15:00,Synthetic,Italy,ITA
101010101,Under way,-0.87,13.55,-23.590282892776216,-53.38050226876173,358.41,0.41,9000101,Victoria,VIC10,Passenger,8.5,Barcelona,19,210,24,23,2025-01-09 00:00:00,39,250,2025-01-01 01:30:00,Synthetic,Italy,ITA
101010101,Under way,-0.48,14.21,-23.57703402707136,-53.37095424710746,356.8,353.95,9000101,Victoria,VIC10,Passenger,8.5,Barcelona,19,210,24,23,2025-01-09 00:00:00,39,250,2025-01-01 01:45:00,Synthetic,Italy,ITA
101010101,Under way,0.01,13.92,-23.563784578189946,-53.36140815236519,357.82,358.02,9000101,Victoria,VIC10,Passenger,8.5,Barcelona,19,210,24,23,2025-01-09 00:00:00,39,250,2025-01-01 02:00:00,Synthetic,Italy,ITA
101010101,Under way,-1.02,14.32,-23.550534546617413,-53.35186398301574,355.55,357.81,9000101,Victoria,VIC10,Passenger,8.5,Barcelona,19,210,24,23,2025-01-09 00:00:00,39,250,2025-01-01 02:15:00,Synthetic,Italy,ITA
101010101,Under way,2.26,14.2,-23.537283932838868,-53.34232173754071,356.64,358.07,9000101,Victoria,VIC10,Passenger,8.5,Barcelona,19,210,24,23,2025-01-09 00:00:00,39,250,2025-01-01 02:30:00,Synthetic,Italy,ITA
